costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,conm,cusip,sic,fqtr,fyearq,rdq,atq,ceqq,cshoq,epspxq,ltq,niq,saleq,prclq
A,USD,STD,INDL,C,ABT,2001-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2001,2001-07-12,22122.5820,8558.4020,1550.9070,0.3400,13564.1800,529.0480,4099.1190,43.430000000000
A,USD,STD,INDL,C,ABT,2001-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2001,2001-10-10,22719.3990,8671.0650,1552.2370,0.4100,14048.3340,631.4000,4181.1850,46.350000000000
A,USD,STD,INDL,C,ABT,2001-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2001,2002-01-16,23296.4230,9059.4320,1554.5300,0.3900,14236.9910,613.5550,4445.0620,50.400000000000
A,USD,STD,INDL,C,ABT,2002-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2002,2002-04-09,22765.7760,9445.8030,1560.6140,0.5500,13319.9730,854.2800,4189.2890,51.400000000000
A,USD,STD,INDL,C,ABT,2005-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2005,2005-07-13,27817.2130,14381.9110,1554.4160,0.5600,13435.3020,877.0520,5473.8000,45.980000000000
A,USD,STD,INDL,C,ABT,2005-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2005,2005-10-19,28830.9590,14263.0310,1551.2280,0.4400,14567.9280,680.7090,5383.9950,41.570000000000
A,USD,STD,INDL,C,ABT,2005-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2005,2006-01-25,29141.2030,14415.2710,1539.2350,0.6300,14725.9320,976.4160,6047.3340,37.500000000000
A,USD,STD,INDL,C,ABT,2006-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2006,2007-01-24,36178.1720,14054.1860,1537.2430,-0.3100,22123.9860,-476.2140,6217.9690,45.410000000000
A,USD,STD,INDL,C,ABT,2007-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2007,2007-04-18,36286.1170,14319.1410,1540.3600,0.4500,21966.9760,697.5370,5945.5610,48.750000000000
A,USD,STD,INDL,C,ABT,2007-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2007,2007-07-18,37153.2220,15334.1530,1545.4530,0.6400,21819.0690,988.7440,6370.6200,52.800000000000
A,USD,STD,INDL,C,ABT,2008-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2008,2008-07-16,44073.7190,18958.8020,1541.5470,0.8600,25114.9170,1322.0140,7314.0210,50.090000000000
A,USD,STD,INDL,C,ABT,2008-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2008,2008-10-15,41753.0120,19345.8350,1551.5820,0.7000,22407.1770,1084.6120,7497.6600,52.630000000000
A,USD,STD,INDL,C,ABT,2008-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2008,2009-01-21,42419.2040,17479.5510,1552.4330,0.9000,24939.6530,1536.2260,7950.2680,45.750000000000
A,USD,STD,INDL,C,ABT,2010-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2010,2010-10-20,57373.6200,21403.9320,1545.8160,0.5800,35890.8960,890.6600,8674.5050,44.590000000000
A,USD,STD,INDL,C,ABT,2010-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2010,2011-01-26,59462.2660,22388.1350,1546.9840,0.9300,36985.8020,1440.8470,9967.8480,46.030000000000
A,USD,STD,INDL,C,ABT,2011-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2011,2011-04-20,61651.3630,24629.6500,1554.2830,0.5600,36931.0310,863.8180,9040.8500,45.070000000000
A,USD,STD,INDL,C,ABT,2013-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2013,2013-10-16,44132.4770,23696.2370,1546.1860,0.4100,20344.5460,966.0000,4825.0000,32.700000000000
A,USD,STD,INDL,C,ABT,2013-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2013,2014-01-22,42953.0000,25171.0000,1548.0980,0.3100,17686.0000,589.0000,5014.0000,32.750000000000
A,USD,STD,INDL,C,ABT,2014-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2014,2014-04-16,41662.0000,23390.0000,1501.9390,0.1400,18173.0000,375.0000,4755.0000,35.650000000000
A,USD,STD,INDL,C,ABT,2014-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2014,2014-07-16,41475.0000,23602.0000,1503.6990,0.2800,17771.0000,465.0000,5057.0000,36.650000000000
A,USD,STD,INDL,C,ABT,2018-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2018,2018-10-17,71637.0000,30705.0000,1756.3330,0.3100,40739.0000,563.0000,7656.0000,60.320000000000
A,USD,STD,INDL,C,ABT,2018-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2018,2019-01-23,67173.0000,30524.0000,1755.6190,0.3700,36451.0000,654.0000,7765.0000,65.440000000000
A,USD,STD,INDL,C,ABT,2019-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2019,2019-04-17,67610.0000,30925.0000,1764.1810,0.3800,36481.0000,672.0000,7535.0000,65.500000000000
A,USD,STD,INDL,C,ABT,2019-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2019,2019-07-17,68427.0000,31686.0000,1767.3980,0.5700,36533.0000,1006.0000,7979.0000,72.360000000000
A,USD,STD,INDL,C,ABT,2019-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2019,2019-10-16,68539.0000,31817.0000,1768.4560,0.5400,36520.0000,960.0000,8076.0000,81.020000000000
A,USD,STD,INDL,C,ABT,2020-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2020,2021-01-27,72548.0000,32784.0000,1771.2300,1.2000,39545.0000,2162.0000,10701.0000,103.130000000000
A,USD,STD,INDL,C,ABT,2021-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2021,2021-04-20,72785.0000,33562.0000,1776.8200,1.0000,38997.0000,1793.0000,10456.0000,107.255100000000
A,USD,STD,INDL,C,ABT,2021-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2021,2021-07-22,73269.0000,33800.0000,1772.8170,0.6700,39240.0000,1189.0000,10223.0000,105.360000000000
A,USD,STD,INDL,C,ABT,2021-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2021,2021-10-20,73795.0000,34422.0000,1768.2870,1.1800,39157.0000,2100.0000,10928.0000,115.480000000000
A,USD,STD,INDL,C,ABT,2023-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2023,2024-01-24,73214.0000,38603.0000,1734.0760,0.9200,34387.0000,1594.0000,10241.0000,89.674000000000
A,USD,STD,INDL,C,HON,2001-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2001,2001-04-20,24788.0000,9592.0000,809.2810,0.0500,15196.0000,41.0000,5944.0000,34.850000000000
A,USD,STD,INDL,C,HON,2001-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,2001,2001-07-24,24935.0000,9520.0000,811.6160,0.0600,15415.0000,50.0000,6066.0000,33.000000000000
A,USD,STD,INDL,C,HON,2001-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,2001,2001-10-24,25332.0000,9252.0000,813.1890,-0.3800,16080.0000,-308.0000,5789.0000,22.150000000000
A,USD,STD,INDL,C,HON,2001-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,2001,2002-01-29,24226.0000,9170.0000,814.9660,0.1400,15056.0000,118.0000,5853.0000,25.320000000000
A,USD,STD,INDL,C,HON,2014-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,2014,2015-01-23,45451.0000,17657.0000,782.2000,1.2200,27448.0000,956.0000,10266.0000,82.890000000000
A,USD,STD,INDL,C,HON,2015-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2015,2015-04-17,45357.0000,17542.0000,781.7070,1.4200,27438.0000,1116.0000,9213.0000,96.500000000000
A,USD,STD,INDL,C,HON,2015-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,2015,2015-07-17,46412.0000,18457.0000,781.7620,1.5200,27556.0000,1194.0000,9775.0000,100.150000000000
A,USD,STD,INDL,C,HON,2015-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,2015,2015-10-16,46625.0000,17760.0000,770.6910,1.6200,28458.0000,1264.0000,9611.0000,87.000000000000
A,USD,STD,INDL,C,HON,2019-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,2019,2020-01-31,58679.0000,18494.0000,711.1000,2.1900,39966.0000,1562.0000,9496.0000,158.590000000000
A,USD,STD,INDL,C,HON,2020-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2020,2020-05-01,57422.0000,17644.0000,701.8480,2.2300,39550.0000,1581.0000,8463.0000,101.080000000000
A,USD,STD,INDL,C,HON,2020-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,2020,2020-07-24,63604.0000,18147.0000,701.7830,1.5400,45231.0000,1081.0000,7477.0000,117.110000000000
A,USD,STD,INDL,C,HON,2020-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,2020,2020-10-30,63459.0000,18074.0000,701.6860,1.0800,45139.0000,758.0000,7797.0000,140.900000000000
A,USD,STD,INDL,C,HON,2022-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,2022,2023-02-02,62275.0000,16697.0000,667.6000,1.5200,44949.0000,1019.0000,9186.0000,169.080000000000
A,USD,STD,INDL,C,HON,2023-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2023,2023-04-27,59883.0000,16919.0000,665.6770,2.0900,42361.0000,1394.0000,8864.0000,184.230000000000
A,USD,STD,INDL,C,HON,2023-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,2023,2023-07-27,62337.0000,17299.0000,663.9610,2.2400,44436.0000,1487.0000,9146.0000,189.010000000000
A,USD,STD,INDL,C,HON,2023-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,2023,2023-10-26,61296.0000,17231.0000,659.2510,2.2900,43514.0000,1514.0000,9212.0000,183.230000000000
A,USD,STD,INDL,C,AXP,1999-03-31,001447,AMERICAN EXPRESS CO,025816109,6141,1,1999,1999-04-22,128297.0000,9785.0000,450.0000,1.2800,118512.0000,575.0000,5248.0000,94.875000000000
A,USD,STD,INDL,C,AXP,1999-06-30,001447,AMERICAN EXPRESS CO,025816109,6141,2,1999,1999-07-26,132452.0000,9762.0000,449.0000,1.4400,122690.0000,646.0000,5564.0000,114.500000000000
A,USD,STD,INDL,C,AXP,1999-09-30,001447,AMERICAN EXPRESS CO,025816109,6141,3,1999,1999-10-25,132616.0000,9744.0000,447.6000,1.4500,122872.0000,648.0000,5584.0000,121.875000000000
A,USD,STD,INDL,C,AXP,1999-12-31,001447,AMERICAN EXPRESS CO,025816109,6141,4,1999,2000-01-24,148517.0000,10095.0000,446.9000,1.3600,138422.0000,606.0000,6009.0000,130.250000000000
A,USD,STD,INDL,C,AXP,2000-03-31,001447,AMERICAN EXPRESS CO,025816109,6141,1,2000,2000-04-24,150662.0000,10253.0000,444.7000,1.4800,140409.0000,656.0000,6021.0000,119.500000000000
A,USD,STD,INDL,C,AXP,2000-06-30,001447,AMERICAN EXPRESS CO,025816109,6141,2,2000,2000-07-24,148553.0000,10509.0000,1333.0000,0.5600,138044.0000,740.0000,6370.0000,43.937500000000
A,USD,STD,INDL,C,AXP,2000-09-30,001447,AMERICAN EXPRESS CO,025816109,6141,3,2000,2000-10-23,153626.0000,11213.0000,1329.0000,0.5600,142413.0000,737.0000,6398.0000,50.687500000000
A,USD,STD,INDL,C,AXP,2000-12-31,001447,AMERICAN EXPRESS CO,025816109,6141,4,2000,2001-01-22,154423.0000,11684.0000,1326.0000,0.5100,142739.0000,677.0000,6484.0000,50.062500000000
A,USD,STD,INDL,C,AXP,2007-09-30,001447,AMERICAN EXPRESS CO,025816109,6141,3,2007,2007-10-22,140927.0000,10898.0000,1169.0000,0.9600,130029.0000,1067.0000,8168.0000,55.500000000000
A,USD,STD,INDL,C,AXP,2007-12-31,001447,AMERICAN EXPRESS CO,025816109,6141,4,2007,2008-01-28,149830.0000,11029.0000,1158.0000,0.7400,138801.0000,831.0000,8415.0000,50.370000000000
A,USD,STD,INDL,C,AXP,2008-03-31,001447,AMERICAN EXPRESS CO,025816109,6141,1,2008,2008-04-24,135288.0000,11511.0000,1158.0000,0.9000,123777.0000,991.0000,8211.0000,39.500000000000
A,USD,STD,INDL,C,AXP,2008-06-30,001447,AMERICAN EXPRESS CO,025816109,6141,2,2008,2008-07-21,137330.0000,12269.0000,1159.0000,0.5700,125061.0000,653.0000,8358.0000,37.610000000000
A,USD,STD,INDL,C,AXP,2010-09-30,001447,AMERICAN EXPRESS CO,025816109,6141,3,2010,2010-10-21,146056.0000,15920.0000,1204.0000,0.9100,130136.0000,1093.0000,7583.0000,38.420000000000
A,USD,STD,INDL,C,ABT,1999-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,1999,1999-04-08,13316.9570,6062.2380,1519.3330,0.4400,7254.7190,668.7030,3313.3200,43.000000000000
A,USD,STD,INDL,C,ABT,1999-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,1999,1999-07-09,13145.0980,6439.2710,1521.1510,0.4200,6705.8270,644.9750,3259.2110,41.937500000000
A,USD,STD,INDL,C,ABT,1999-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,1999,1999-10-11,13574.2250,6669.6530,1521.9350,0.3000,6904.5720,468.0790,3137.1580,36.312500000000
A,USD,STD,INDL,C,ABT,2002-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2002,2002-07-11,23053.1010,9888.7960,1562.1310,0.3800,13164.3050,592.2650,4314.8890,35.250000000000
A,USD,STD,INDL,C,ABT,2002-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2002,2002-10-09,23660.3550,10547.1730,1562.5410,0.4600,13113.1820,720.0510,4341.2360,29.800000000000
A,USD,STD,INDL,C,ABT,2002-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2002,2003-01-16,24259.1020,10664.5530,1563.0680,0.4000,13594.5490,627.1070,4839.2490,36.260000000000
A,USD,STD,INDL,C,ABT,2003-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2003,2003-04-09,24882.5800,11371.4070,1560.9680,0.4700,13511.1730,800.9810,4008.9410,33.750000000000
A,USD,STD,INDL,C,ABT,2003-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2003,2003-07-10,25890.8540,11892.8360,1562.5600,0.1100,13998.0180,246.6430,4126.2590,37.570000000000
A,USD,STD,INDL,C,ABT,2003-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2003,2003-10-09,26154.7690,11864.7870,1563.3530,0.4500,14289.9820,761.2170,4247.8550,37.650000000000
A,USD,STD,INDL,C,ABT,2003-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2003,2004-01-16,26715.3420,13072.2580,1564.5180,0.5700,13643.0840,944.3920,4897.2780,39.950000000000
A,USD,STD,INDL,C,ABT,2004-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2004,2004-04-08,28053.3330,13512.0420,1559.6760,0.4900,14541.2910,822.9090,4640.8550,39.280000000000
A,USD,STD,INDL,C,ABT,2004-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2004,2004-07-09,27686.1810,12825.8660,1561.1570,0.4100,14860.3150,634.2580,4703.0490,39.430000000000
A,USD,STD,INDL,C,ABT,2004-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2004,2004-10-14,27564.2260,12955.3440,1557.3920,0.5200,14608.8820,804.0790,4681.6690,38.260000000000
A,USD,STD,INDL,C,ABT,2004-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2004,2005-01-18,28767.4940,14325.7830,1560.0240,0.6200,14441.7110,974.6050,5654.4430,40.250000000000
A,USD,STD,INDL,C,ABT,2005-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2005,2005-04-12,28857.2140,14177.5480,1550.6770,0.5400,14679.6660,837.8880,5382.6790,43.340000000000
A,USD,STD,INDL,C,ABT,2006-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2006,2006-04-19,28531.5000,14442.1450,1526.2170,0.5700,14089.3550,864.8830,5183.4590,39.180000000000
A,USD,STD,INDL,C,ABT,2006-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2006,2006-07-19,34061.2670,15185.5060,1527.8070,0.4000,18875.7610,612.2440,5501.1240,40.550000000000
A,USD,STD,INDL,C,ABT,2006-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2006,2006-10-18,33299.8720,15633.4010,1534.8640,0.4700,17666.4710,715.8420,5573.7700,43.250000000000
A,USD,STD,INDL,C,ABT,2007-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2007,2007-10-17,37621.9090,15608.1600,1545.2730,0.4600,22013.7490,717.0060,6376.7060,49.580000000000
A,USD,STD,INDL,C,ABT,2007-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2007,2008-01-23,39713.9240,17778.5400,1549.9100,0.7800,21935.3840,1203.0270,7221.3510,50.510000000000
A,USD,STD,INDL,C,ABT,2008-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2008,2008-04-16,41177.5720,17979.5440,1543.2960,0.6100,23198.0280,937.8670,6765.6030,50.090000000000
A,USD,STD,INDL,C,ABT,2009-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2009,2009-04-15,45437.5970,17943.2990,1545.4590,0.9300,27454.4570,1438.6370,6718.3680,44.100000000000
A,USD,STD,INDL,C,ABT,2009-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2009,2009-07-15,47630.0170,19879.1120,1545.9130,0.8300,27709.9490,1288.1050,7494.8760,41.270000000000
A,USD,STD,INDL,C,ABT,2009-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2009,2009-10-14,49846.8200,21335.0550,1546.7380,0.9500,28472.0700,1480.3670,7761.3360,43.450000000000
A,USD,STD,INDL,C,ABT,2011-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2011,2011-07-20,62004.2410,26378.8530,1556.5770,1.2400,35534.5380,1942.7820,9616.2910,49.050000000000
A,USD,STD,INDL,C,ABT,2011-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2011,2011-10-19,59628.1760,24603.8000,1557.7960,0.1900,34939.2040,303.1810,9816.6650,46.290000000000
A,USD,STD,INDL,C,ABT,2011-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2011,2012-01-25,60276.8930,24439.8330,1570.3790,1.0300,35750.7480,1618.6680,10377.4530,48.960000000000
A,USD,STD,INDL,C,ABT,2012-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2012,2013-01-23,67234.9440,26720.9610,1576.6670,-0.3300,40421.7120,1053.4610,5632.2310,62.620000000000
A,USD,STD,INDL,C,ABT,2013-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2013,2013-04-17,42686.6130,22588.1860,1558.8650,0.3500,20003.3380,544.6610,5377.8950,31.640000000000
A,USD,STD,INDL,C,ABT,2013-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2013,2013-07-17,42903.3460,22336.0640,1554.1250,0.2000,20475.7000,476.3390,4440.1050,34.690000000000
A,USD,STD,INDL,C,ABT,2015-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2015,2015-10-21,41725.0000,21111.0000,1491.7200,0.4000,20506.0000,580.0000,5150.0000,39.000000000000
A,USD,STD,INDL,C,ABT,2015-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2015,2016-01-28,41247.0000,21211.0000,1472.6650,0.4600,19921.0000,767.0000,5188.0000,39.280000000000
A,USD,STD,INDL,C,ABT,2016-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2016,2016-04-20,39637.0000,20722.0000,1469.1520,0.0400,18795.0000,316.0000,4885.0000,36.000000000000
A,USD,STD,INDL,C,ABT,2016-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2016,2016-07-20,39831.0000,20675.0000,1469.9950,0.4000,19036.0000,615.0000,5333.0000,36.760000000000
A,USD,STD,INDL,C,ABT,2016-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2016,2016-10-19,39497.0000,20776.0000,1472.3100,-0.2400,18601.0000,-329.0000,5302.0000,39.160000000000
A,USD,STD,INDL,C,ABT,2016-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2016,2017-01-25,52666.0000,20538.0000,1472.8690,0.5100,31949.0000,798.0000,5333.0000,37.380000000000
A,USD,STD,INDL,C,ABT,2017-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2017,2017-04-19,70887.0000,31362.0000,1735.2720,0.2200,39340.0000,419.0000,6335.0000,38.340000000000
A,USD,STD,INDL,C,ABT,2017-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2017,2017-07-20,71151.0000,31602.0000,1737.4430,0.1500,39363.0000,283.0000,6637.0000,42.310000000000
A,USD,STD,INDL,C,ABT,2019-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2019,2020-01-22,67887.0000,31088.0000,1762.5030,0.5900,36586.0000,1049.0000,8314.0000,78.510000000000
A,USD,STD,INDL,C,ABT,2020-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2020,2020-04-16,66777.0000,30218.0000,1768.8450,0.3100,36350.0000,564.0000,7726.0000,61.610000000000
A,USD,STD,INDL,C,ABT,2020-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2020,2020-07-16,68776.0000,30578.0000,1770.5300,0.3000,37978.0000,537.0000,7328.0000,75.350000000000
A,USD,STD,INDL,C,ABT,2020-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2020,2020-10-21,69043.0000,31386.0000,1772.3620,0.6900,37448.0000,1232.0000,8853.0000,90.430000000000
A,USD,STD,INDL,C,ABT,2021-12-31,001078,ABBOTT LABORATORIES,002824100,3845,4,2021,2022-01-26,75196.0000,35802.0000,1764.0820,1.1200,39172.0000,1989.0000,11468.0000,114.400000000000
A,USD,STD,INDL,C,ABT,2022-03-31,001078,ABBOTT LABORATORIES,002824100,3845,1,2022,2022-04-20,74007.0000,35399.0000,1750.9420,1.3800,38378.0000,2447.0000,11895.0000,113.880000000000
A,USD,STD,INDL,C,ABT,2022-06-30,001078,ABBOTT LABORATORIES,002824100,3845,2,2022,2022-07-20,74202.0000,36490.0000,1751.2200,1.1500,37486.0000,2018.0000,11257.0000,101.240000000000
A,USD,STD,INDL,C,ABT,2022-09-30,001078,ABBOTT LABORATORIES,002824100,3845,3,2022,2022-10-19,72801.0000,35675.0000,1743.5740,0.8200,36917.0000,1435.0000,10410.0000,96.670000000000
A,USD,STD,INDL,C,HON,1999-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,1999,1999-07-14,14089.0000,5026.0000,550.2210,0.6800,9063.0000,540.0000,5958.0000,49.250000000000
A,USD,STD,INDL,C,HON,1999-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,1999,1999-10-14,14953.0000,5423.0000,552.6010,0.7000,9530.0000,554.0000,6036.0000,56.687500000000
A,USD,STD,INDL,C,HON,1999-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,1999,2000-01-20,23527.0000,8599.0000,795.1330,0.0100,14928.0000,7.0000,6159.0000,52.312500000000
A,USD,STD,INDL,C,HON,2000-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2000,2000-04-13,24837.0000,8945.0000,798.1610,0.6400,15892.0000,506.0000,6044.0000,40.312500000000
A,USD,STD,INDL,C,HON,2000-06-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,2,2000,2000-07-18,24936.0000,9452.0000,801.0510,0.7700,15484.0000,617.0000,6309.0000,32.125000000000
A,USD,STD,INDL,C,HON,2000-09-30,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,3,2000,2000-10-17,25917.0000,9336.0000,797.4860,0.3500,16581.0000,282.0000,6216.0000,33.250000000000
A,USD,STD,INDL,C,HON,2000-12-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,4,2000,2001-01-26,25175.0000,9707.0000,807.2920,0.3200,15468.0000,254.0000,6454.0000,33.375000000000
A,USD,STD,INDL,C,HON,2004-03-31,001300,HONEYWELL INTERNATIONAL INC,438516106,9997,1,2004,2004-04-21,29666.0000,10757.0000,859.1960,0.3400,18909.0000,295.0000,6178.0000,31.230000000000
