oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
ABT,ABT,00282410,ABBOTT LABS,1999-01-14,EPS,6,0.41,0,1998-12-31,0.41,1999-01-15
ABT,ABT,00282410,ABBOTT LABS,1999-02-18,EPS,6,0.43,0.01,1999-03-31,0.43,1999-04-08
ABT,ABT,00282410,ABBOTT LABS,1999-03-18,EPS,6,0.42,0.01,1999-03-31,0.43,1999-04-08
ABT,ABT,00282410,ABBOTT LABS,1999-04-15,EPS,6,0.42,0,1999-06-30,0.42,1999-07-09
ABT,ABT,00282410,ABBOTT LABS,1999-05-20,EPS,6,0.42,0,1999-06-30,0.42,1999-07-09
ABT,ABT,00282410,ABBOTT LABS,1999-06-17,EPS,6,0.42,0,1999-06-30,0.42,1999-07-09
ABT,ABT,00282410,ABBOTT LABS,1999-07-15,EPS,6,0.38,0,1999-09-30,0.38,1999-10-11
ABT,ABT,00282410,ABBOTT LABS,1999-08-19,EPS,6,0.38,0,1999-09-30,0.38,1999-10-11
ABT,ABT,00282410,ABBOTT LABS,1999-09-16,EPS,6,0.38,0,1999-09-30,0.38,1999-10-11
ABT,ABT,00282410,ABBOTT LABS,1999-10-14,EPS,6,0.45,0.01,1999-12-31,0.43,2000-01-18
ABT,ABT,00282410,ABBOTT LABS,1999-11-18,EPS,6,0.43,0.01,1999-12-31,0.43,2000-01-18
ABT,ABT,00282410,ABBOTT LABS,1999-12-16,EPS,6,0.43,0.01,1999-12-31,0.43,2000-01-18
ABT,ABT,00282410,ABBOTT LABS,2000-01-20,EPS,6,0.44,0.01,2000-03-31,0.44,2000-04-11
ABT,ABT,00282410,ABBOTT LABS,2000-02-17,EPS,6,0.44,0.01,2000-03-31,0.44,2000-04-11
ABT,ABT,00282410,ABBOTT LABS,2000-03-16,EPS,6,0.44,0,2000-03-31,0.44,2000-04-11
ABT,ABT,00282410,ABBOTT LABS,2000-04-20,EPS,6,0.44,0.01,2000-06-30,0.44,2000-07-12
ABT,ABT,00282410,ABBOTT LABS,2000-05-18,EPS,6,0.44,0.01,2000-06-30,0.44,2000-07-12
ABT,ABT,00282410,ABBOTT LABS,2000-06-15,EPS,6,0.44,0.01,2000-06-30,0.44,2000-07-12
ABT,ABT,00282410,ABBOTT LABS,2000-07-20,EPS,6,0.42,0.01,2000-09-30,0.42,2000-10-10
ABT,ABT,00282410,ABBOTT LABS,2000-08-17,EPS,6,0.42,0.01,2000-09-30,0.42,2000-10-10
ABT,ABT,00282410,ABBOTT LABS,2000-09-14,EPS,6,0.42,0.01,2000-09-30,0.42,2000-10-10
ABT,ABT,00282410,ABBOTT LABS,2000-10-19,EPS,6,0.48,0,2000-12-31,0.48,2001-01-16
ABT,ABT,00282410,ABBOTT LABS,2000-11-16,EPS,6,0.48,0.01,2000-12-31,0.48,2001-01-16
ABT,ABT,00282410,ABBOTT LABS,2000-12-14,EPS,6,0.48,0.01,2000-12-31,0.48,2001-01-16
ABT,ABT,00282410,ABBOTT LABS,2001-01-18,EPS,6,0.49,0.01,2001-03-31,0.47,2001-04-12
ABT,ABT,00282410,ABBOTT LABS,2001-02-15,EPS,6,0.49,0.01,2001-03-31,0.47,2001-04-12
ABT,ABT,00282410,ABBOTT LABS,2001-03-15,EPS,6,0.48,0.01,2001-03-31,0.47,2001-04-12
ABT,ABT,00282410,ABBOTT LABS,2001-04-19,EPS,6,0.45,0.01,2001-06-30,0.45,2001-07-12
ABT,ABT,00282410,ABBOTT LABS,2001-05-17,EPS,6,0.45,0.01,2001-06-30,0.45,2001-07-12
ABT,ABT,00282410,ABBOTT LABS,2001-06-14,EPS,6,0.45,0.02,2001-06-30,0.45,2001-07-12
ABT,ABT,00282410,ABBOTT LABS,2001-07-19,EPS,6,0.44,0,2001-09-30,0.44,2001-10-10
ABT,ABT,00282410,ABBOTT LABS,2001-08-16,EPS,6,0.44,0,2001-09-30,0.44,2001-10-10
ABT,ABT,00282410,ABBOTT LABS,2001-09-20,EPS,6,0.44,0,2001-09-30,0.44,2001-10-10
ABT,ABT,00282410,ABBOTT LABS,2001-10-18,EPS,6,0.52,0.01,2001-12-31,0.52,2002-01-16
ABT,ABT,00282410,ABBOTT LABS,2001-11-15,EPS,6,0.52,0.01,2001-12-31,0.52,2002-01-16
ABT,ABT,00282410,ABBOTT LABS,2001-12-20,EPS,6,0.52,0.01,2001-12-31,0.52,2002-01-16
ABT,ABT,00282410,ABBOTT LABS,2002-01-17,EPS,6,0.54,0.01,2002-03-31,0.54,2002-04-09
ABT,ABT,00282410,ABBOTT LABS,2002-02-14,EPS,6,0.54,0,2002-03-31,0.54,2002-04-09
ABT,ABT,00282410,ABBOTT LABS,2002-03-14,EPS,6,0.54,0,2002-03-31,0.54,2002-04-09
ABT,ABT,00282410,ABBOTT LABS,2002-04-18,EPS,6,0.53,0,2002-06-30,0.49,2002-07-11
ABT,ABT,00282410,ABBOTT LABS,2002-05-16,EPS,6,0.53,0,2002-06-30,0.49,2002-07-11
ABT,ABT,00282410,ABBOTT LABS,2002-06-20,EPS,6,0.49,0.01,2002-06-30,0.49,2002-07-11
