gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001078,ABBOTT LABORATORIES,ABT,P,01,LC,20482,20017,1962-01-31,E
001078,ABBOTT LABORATORIES,ABT,C,00X,LC,20482,20017,1950-01-01,1962-01-30
001300,HONEYWELL INTERNATIONAL INC,HON,P,01,LC,10145,22168,1962-01-31,E
001300,HONEYWELL INTERNATIONAL INC,HON,C,00X,LC,10145,22168,1950-01-01,1962-01-30
001447,AMERICAN EXPRESS CO,AXP,C,01,LU,59176,90,1972-12-14,E
001602,AMGEN INC,AMGN,P,01,LU,14008,216,1983-06-17,E
002285,BOEING CO,BA,C,00X,LU,19561,20315,1950-01-01,1962-01-30
002285,BOEING CO,BA,P,01,LU,19561,20315,1962-01-31,E
002817,CATERPILLAR INC,CAT,P,01,LC,18542,20408,1962-01-31,E
002817,CATERPILLAR INC,CAT,C,00X,LC,18542,20408,1950-01-01,1962-01-30
002968,JPMORGAN CHASE & CO,JPM,N,02,LC,75044,20436,1987-05-21,1992-03-26
002968,JPMORGAN CHASE & CO,JPM,P,01,LC,47896,20436,1969-03-05,E
002991,CHEVRON CORP,CVX,C,00X,LU,14541,20440,1950-01-01,1962-01-30
002991,CHEVRON CORP,CVX,P,01,LU,14541,20440,1962-01-31,E
003144,COCA-COLA CO,KO,C,00X,LU,11308,20468,1950-01-01,1962-01-30
003144,COCA-COLA CO,KO,P,01,LU,11308,20468,1962-01-31,E
003170,COLGATE-PALMOLIVE CO,CL,P,01,LU,18729,20473,1962-01-31,E
003170,COLGATE-PALMOLIVE CO,CL,C,00X,LU,18729,20473,1950-01-01,1962-01-30
003243,CITIGROUP INC,C,P,01,LC,70519,20483,1986-10-29,E
003813,TARGET CORP,TGT,P,01,LU,49154,20561,1969-09-08,E
003835,DEERE & CO,DE,P,01,LC,19350,20566,1962-01-31,E
003835,DEERE & CO,DE,C,00X,LC,19350,20566,1949-11-01,1962-01-30
003980,DISNEY (WALT) CO,DIS,P,01,LC,26403,20587,1962-01-31,E
004093,DUKE ENERGY CORP,DUK,P,01,LC,27959,20608,1962-01-31,E
004503,EXXON MOBIL CORP,XOM,P,01,LC,11850,20678,1962-01-31,E
004503,EXXON MOBIL CORP,XOM,C,00X,LC,11850,20678,1950-01-01,1962-01-30
004517,NEXTERA ENERGY INC,NEE,P,01,LC,24205,20684,1962-01-31,E
004517,NEXTERA ENERGY INC,NEE,C,00X,LC,24205,20684,1951-01-01,1962-01-30
005680,HOME DEPOT INC,HD,P,01,LC,66181,5085,1981-09-22,E
006008,INTEL CORP,INTC,P,01,LU,59328,2367,1972-12-14,E
006066,INTL BUSINESS MACHINES CORP,IBM,C,00X,LC,12490,20990,1950-01-01,1962-01-30
006066,INTL BUSINESS MACHINES CORP,IBM,P,01,LC,12490,20990,1962-01-31,E
006266,JOHNSON & JOHNSON,JNJ,P,01,LC,22111,21018,1962-01-31,E
006266,JOHNSON & JOHNSON,JNJ,C,00X,LC,22111,21018,1950-01-01,1962-01-30
006435,KIMBERLY-CLARK CORP,KMB,P,01,LC,17750,21055,1962-01-31,E
006435,KIMBERLY-CLARK CORP,KMB,C,00X,LC,17750,21055,1950-05-01,1962-01-30
006730,LILLY (ELI) & CO,LLY,P,01,LU,50876,21102,1970-07-09,E
006774,LOCKHEED MARTIN CORP,LMT,P,01,LU,21178,21110,1962-01-31,E
006774,LOCKHEED MARTIN CORP,LMT,C,00X,LU,21178,21110,1950-01-01,1962-01-30
007154,MCDONALD'S CORP,MCD,P,01,LU,43449,21177,1966-07-05,E
007228,MEDTRONIC PLC,MDT,P,01,LC,60097,2850,1972-12-14,E
007257,MERCK & CO,MRK,P,01,LC,22752,21188,1962-01-02,E
007257,MERCK & CO,MRK,C,00X,LC,22752,21188,1950-01-01,1962-01-01
007435,3M CO,MMM,P,01,LC,22592,21205,1962-01-31,E
007435,3M CO,MMM,C,00X,LC,22592,21205,1950-01-01,1962-01-30
007647,BANK OF AMERICA CORP,BAC,P,01,LC,59408,3151,1972-12-14,E
007906,NIKE INC  -CL B,NKE,P,01,LU,57665,3194,1980-12-02,E
008007,WELLS FARGO & CO,WFC,P,01,LC,38703,21305,1962-12-10,E
008479,PEPSICO INC,PEP,P,01,LC,13856,21384,1962-01-31,E
008479,PEPSICO INC,PEP,C,00X,LC,13856,21384,1950-01-01,1962-01-30
