caldt,vwretd,vwretx,ewretd,totval
03-01-2000,-0.006803,-0.00681,0.002878,16897673600
04-01-2000,-0.039652,-0.039679,-0.017465,16228867700
05-01-2000,-0.000935,-0.001009,0.007821,16212787400
06-01-2000,-0.007391,-0.007547,0.004504,16089055800
07-01-2000,0.032516,0.032514,0.017008,16610768100
10-01-2000,0.018608,0.018588,0.015333,16916973800
11-01-2000,-0.016941,-0.016963,-0.006079,16630339800
12-01-2000,-0.006922,-0.006989,-0.002505,16508954200
13-01-2000,0.016265,0.016254,0.013063,16775841600
14-01-2000,0.011137,0.011135,0.009119,16961454700
18-01-2000,-0.00086,-0.000872,0.01204,16943212600
19-01-2000,0.004631,0.004597,0.008125,17021064100
20-01-2000,-0.002801,-0.00281,0.003468,16977549700
21-01-2000,0.002655,0.002643,0.008277,17021773400
24-01-2000,-0.025311,-0.025318,-0.002527,16592427200
25-01-2000,0.005547,0.005546,0.00087,16685399900
26-01-2000,-0.00453,-0.004563,0.003851,16609942300
27-01-2000,-0.003521,-0.003599,-0.002202,16557657200
28-01-2000,-0.028051,-0.028136,-0.015015,16100778500
31-01-2000,0.014744,0.014739,-0.005371,16340205000
01-02-2000,0.0123,0.012295,0.008028,16548829200
02-02-2000,0.003106,0.003003,0.008154,16595590100
03-02-2000,0.015598,0.015524,0.013512,16855527400
04-02-2000,0.001021,0.000995,0.006727,16891709100
07-02-2000,0.003075,0.003055,0.009064,16937609100
08-02-2000,0.012724,0.012667,0.00996,17155908400
09-02-2000,-0.017185,-0.017356,-0.00175,16861021000
10-02-2000,0.006488,0.006473,0.007364,16977584100
11-02-2000,-0.017335,-0.017434,-0.001085,16697407400
14-02-2000,0.002672,0.002639,0.007272,16743684700
15-02-2000,0.00737,0.007358,0.001399,16868718900
16-02-2000,-0.00526,-0.005403,0.004001,16778233000
17-02-2000,0.005036,0.005021,0.010399,16865246800
18-02-2000,-0.02605,-0.026051,-0.006761,16431783600
22-02-2000,0.000556,0.000536,-0.000437,16440311300
23-02-2000,0.012353,0.012283,0.00551,16646701500
24-02-2000,-0.000378,-0.000402,-0.001434,16640271200
25-02-2000,-0.009546,-0.009615,0.000961,16491155600
28-02-2000,0.007756,0.007648,0.006148,16610628900
29-02-2000,0.019138,0.019133,0.018831,17004680400
01-03-2000,0.014596,0.014429,0.014015,17260559500
02-03-2000,-0.000614,-0.000632,0.004548,17276202200
03-03-2000,0.02259,0.022585,0.014351,17691607600
06-03-2000,-0.006612,-0.00669,0.004817,17575912900
07-03-2000,-0.021824,-0.021848,-0.00502,17193192500
08-03-2000,0.006478,0.006372,0.001191,17304220400
09-03-2000,0.023977,0.023956,0.013047,17719384100
10-03-2000,-0.002837,-0.002841,0.000308,17679994000
13-03-2000,-0.014555,-0.014676,-0.008059,17435538000
14-03-2000,-0.022405,-0.02242,-0.012365,17048650800
15-03-2000,0.006799,0.006755,-0.00543,17168299300
16-03-2000,0.041149,0.041039,0.015255,17869831000
17-03-2000,0.006478,0.006472,0.003703,17998267200
20-03-2000,-0.016474,-0.016488,-0.01464,17703667700
21-03-2000,0.019027,0.019026,-0.004312,18043794200
22-03-2000,0.013567,0.013549,0.012681,18292896100
23-03-2000,0.014405,0.0144,0.006424,18554753000
24-03-2000,0.002147,0.002141,0.001122,18634251200
27-03-2000,-0.003358,-0.003359,-0.002379,18578249600
28-03-2000,-0.013168,-0.013177,-0.008854,18339530900
29-03-2000,-0.010693,-0.010854,-0.013118,18144267700
30-03-2000,-0.018181,-0.018198,-0.017729,17814439100
31-03-2000,0.012111,0.012109,0.013089,18167521500
03-04-2000,-0.017206,-0.017221,-0.02361,17859370200
04-04-2000,-0.012824,-0.012849,-0.028033,17627663800
05-04-2000,0.00106,0.001002,0.008262,17661161000
06-04-2000,0.015859,0.015722,0.019032,17940080600
07-04-2000,0.014535,0.014533,0.013005,18209646100
10-04-2000,-0.019337,-0.019338,-0.016988,17856824900
11-04-2000,-0.010238,-0.010277,-0.015836,17674613000
12-04-2000,-0.029996,-0.030076,-0.027053,17143844700
13-04-2000,-0.017135,-0.017142,-0.015751,16849143800
14-04-2000,-0.066175,-0.066176,-0.063522,15734323200
17-04-2000,0.029299,0.029297,-0.009437,16195599600
18-04-2000,0.038392,0.038346,0.048394,16790077600
19-04-2000,-0.007378,-0.007418,0.011476,16667029800
20-04-2000,0.000561,0.000417,0.00305,16687299200
24-04-2000,-0.010579,-0.010585,-0.017588,16508743400
25-04-2000,0.038638,0.038637,0.023633,17176875300
26-04-2000,-0.011333,-0.011418,-0.002105,16981508300
27-04-2000,0.007165,0.007071,0.004455,17112448800
28-04-2000,0.000973,0.000928,0.014912,17157422400
01-05-2000,0.015141,0.015136,0.018069,17420188300
02-05-2000,-0.019366,-0.019378,-0.008385,17084793100
03-05-2000,-0.021067,-0.021171,-0.014452,16721159300
04-05-2000,0.000882,0.000845,0.006214,16736693600
05-05-2000,0.015485,0.015475,0.008431,17001258900
08-05-2000,-0.010189,-0.010269,-0.006955,16828639700
09-05-2000,-0.01178,-0.011823,-0.010127,16577359800
10-05-2000,-0.026778,-0.026885,-0.023452,16135738300
11-05-2000,0.020428,0.020251,0.013091,16462397800
12-05-2000,0.008521,0.008497,0.004587,16602483000
15-05-2000,0.020691,0.020667,0.004772,16944943300
16-05-2000,0.013807,0.013793,0.00827,17232011800
17-05-2000,-0.013413,-0.013492,-0.00621,16999649500
18-05-2000,-0.010467,-0.010508,-0.00572,16825794200
19-05-2000,-0.024081,-0.024109,-0.015357,16421783000
22-05-2000,-0.007917,-0.00792,-0.015313,16291585500
23-05-2000,-0.023379,-0.023394,-0.014364,15911778300
24-05-2000,0.015412,0.01536,-0.00883,16157399700
25-05-2000,-0.011616,-0.011642,-0.005172,15963558100
26-05-2000,-0.001787,-0.001861,-0.00273,15937574100
30-05-2000,0.037875,0.03779,0.021615,16540333400
31-05-2000,-0.00174,-0.001893,0.002846,16506658600
01-06-2000,0.025195,0.02517,0.019431,16929404300
02-06-2000,0.029096,0.029094,0.030798,17424725000
05-06-2000,-0.003705,-0.003717,0.007911,17330867100
06-06-2000,-0.007927,-0.007937,0.002692,17194860200
07-06-2000,0.011114,0.011004,0.008724,17387149300
08-06-2000,-0.00512,-0.005147,0.001024,17298290000
09-06-2000,0.001025,0.001023,0.010069,17316995000
12-06-2000,-0.011024,-0.011039,-0.006039,17125667100
13-06-2000,0.014502,0.014365,0.002502,17371690100
14-06-2000,-0.000844,-0.000888,0.000553,17357206200
15-06-2000,0.00497,0.004962,-0.002757,17399019900
16-06-2000,-0.006716,-0.006803,-0.001281,17278041000
19-06-2000,0.016156,0.016139,0.003178,17554523800
20-06-2000,-0.00243,-0.002434,-0.000029,17502864600
21-06-2000,0.003636,0.003624,0.003102,17565092100
22-06-2000,-0.018904,-0.018932,-0.006828,17232956600
23-06-2000,-0.009194,-0.009197,-0.002647,17080878900
26-06-2000,0.009773,0.009766,0.003297,17263391000
27-06-2000,-0.0053,-0.005301,-0.002669,17178160800
28-06-2000,0.007521,0.007349,0.0095,17302645100
